| #  | Pest                      | Type                     | Order        | Family          | Origin                 |
| -- | ------------------------- | ------------------------ | ------------ | --------------- | ---------------------- |
| 1  | Rice Leaf Roller          | Leaf-rolling caterpillar | Lepidoptera  | Crambidae       | South & Southeast Asia |
| 2  | Rice Leaf Caterpillar     | Defoliating caterpillar  | Lepidoptera  | Noctuidae       | Asia                   |
| 3  | Paddy Stem Maggot         | Stem-mining fly          | Diptera      | Chloropidae     | Asia                   |
| 4  | Asiatic Rice Borer        | Stem borer moth          | Lepidoptera  | Crambidae       | East Asia              |
| 5  | Yellow Rice Borer         | Stem borer moth          | Lepidoptera  | Crambidae       | South Asia             |
| 6  | Rice Gall Midge           | Gall-forming fly         | Diptera      | Cecidomyiidae   | Asia                   |
| 7  | Rice Stemfly              | Stem-feeding fly         | Diptera      | Chloropidae     | Asia                   |
| 8  | Brown Plant Hopper        | Sap-sucking hopper       | Hemiptera    | Delphacidae     | Asia                   |
| 9  | White Backed Plant Hopper | Sap-sucking hopper       | Hemiptera    | Delphacidae     | Asia                   |
| 10 | Small Brown Plant Hopper  | Sap-sucking hopper       | Hemiptera    | Delphacidae     | East Asia              |
| 11 | Rice Water Weevil         | Root-feeding weevil      | Coleoptera   | Curculionidae   | North America          |
| 12 | Rice Leafhopper           | Sap-sucking leafhopper   | Hemiptera    | Cicadellidae    | Asia                   |
| 13 | Grain Spreader Thrips     | Grain pest thrips        | Thysanoptera | Phlaeothripidae | Worldwide              |
| 14 | Rice Shell Pest           | Stored grain pest        | Various      | Various         | Asia                   |
| 15 | Grub                      | Beetle larva             | Coleoptera   | Scarabaeidae    | Worldwide              |
| 16 | Mole Cricket              | Soil burrower            | Orthoptera   | Gryllotalpidae  | Worldwide              |
| 17 | Wireworm                  | Click beetle larva       | Coleoptera   | Elateridae      | Worldwide              |
| 18 | White Margined Moth       | Moth defoliator          | Lepidoptera  | Noctuidae       | Asia                   |
| 19 | Black Cutworm             | Cutworm caterpillar      | Lepidoptera  | Noctuidae       | Americas               |
| 20 | Large Cutworm             | Cutworm caterpillar      | Lepidoptera  | Noctuidae       | Eurasia                |
| 21 | Yellow Cutworm            | Cutworm caterpillar      | Lepidoptera  | Noctuidae       | Asia                   |
| 22 | Red Spider Mite           | Plant mite               | Acari        | Tetranychidae   | Worldwide              |
| 23 | Corn Borer                | Stem borer moth          | Lepidoptera  | Crambidae       | Europe/Asia            |
| 24 | Army Worm                 | Defoliating caterpillar  | Lepidoptera  | Noctuidae       | Worldwide              |
| 25 | Aphids                    | Sap-sucking insects      | Hemiptera    | Aphididae       | Worldwide              |
| #  | Pest                                | Type               | Primary Crop        | Order        | Family               | Origin        | Feeding Behavior                         |
| -- | ----------------------------------- | ------------------ | ------------------- | ------------ | -------------------- | ------------- | ---------------------------------------- |
| 26 | Potosia brevitarsis                 | Scarab Beetle      | Fruits, crops       | Coleoptera   | Scarabaeidae         | East Asia     | Adult fruit feeding, larval root feeding |
| 27 | Peach Borer                         | Borer Moth         | Peach, stone fruits | Lepidoptera  | Sesiidae             | Asia/Europe   | Stem and trunk boring                    |
| 28 | English Grain Aphid                 | Aphid              | Wheat               | Hemiptera    | Aphididae            | Europe        | Sap sucking                              |
| 29 | Green Bug                           | Aphid              | Cereals             | Hemiptera    | Aphididae            | Europe/Asia   | Sap sucking                              |
| 30 | Bird Cherry-Oat Aphid               | Aphid              | Wheat, oats         | Hemiptera    | Aphididae            | Europe        | Sap sucking                              |
| 31 | Wheat Blossom Midge                 | Gall Midge         | Wheat               | Diptera      | Cecidomyiidae        | Europe        | Grain feeding                            |
| 32 | Penthaleus major                    | Earth Mite         | Wheat               | Acari        | Penthaleidae         | Europe        | Leaf feeding                             |
| 33 | Long Legged Spider Mite             | Spider Mite        | Cereals             | Acari        | Tetranychidae        | Worldwide     | Cell sap feeding                         |
| 34 | Wheat Phloeothrips                  | Thrips             | Wheat               | Thysanoptera | Phlaeothripidae      | Europe/Asia   | Sap sucking                              |
| 35 | Wheat Sawfly                        | Sawfly             | Wheat               | Hymenoptera  | Cephidae             | Eurasia       | Stem boring                              |
| 36 | Cerodonta denticornis               | Leaf Miner Fly     | Beet crops          | Diptera      | Agromyzidae          | Europe        | Leaf mining                              |
| 37 | Beet Fly                            | Leaf Miner Fly     | Sugar Beet          | Diptera      | Anthomyiidae         | Europe        | Leaf mining                              |
| 38 | Flea Beetle                         | Beetle             | Multiple crops      | Coleoptera   | Chrysomelidae        | Worldwide     | Leaf feeding                             |
| 39 | Cabbage Army Worm                   | Caterpillar        | Crucifers           | Lepidoptera  | Noctuidae            | Asia          | Defoliation                              |
| 40 | Beet Army Worm                      | Caterpillar        | Vegetables          | Lepidoptera  | Noctuidae            | Americas      | Defoliation                              |
| 41 | Beet Spot Flies                     | Fly                | Sugar Beet          | Diptera      | Tephritidae          | Europe        | Leaf damage                              |
| 42 | Meadow Moth                         | Moth               | Cereals             | Lepidoptera  | Crambidae            | Eurasia       | Leaf feeding                             |
| 43 | Beet Weevil                         | Weevil             | Sugar Beet          | Coleoptera   | Curculionidae        | Europe        | Root and leaf feeding                    |
| 44 | Serica orientalis (Oriental Beetle) | Scarab Beetle      | Grasses, crops      | Coleoptera   | Scarabaeidae         | East Asia     | Root feeding                             |
| 45 | Alfalfa Weevil                      | Weevil             | Alfalfa             | Coleoptera   | Curculionidae        | Europe        | Leaf feeding                             |
